,Datum,AnzahlPosts,Sentiment,Kurs
0,2021-08-01,288,0.014,2695.429443
1,2021-08-02,336,0.032,2665.730957
2,2021-08-03,364,0.025,2630.314209
3,2021-08-04,365,0.025,2764.443604
4,2021-08-05,616,0.012,2840.430664
5,2021-08-06,441,0.027,2944.90332
6,2021-08-07,431,0.032,3170.229736
7,2021-08-08,495,0.021,3184.604004
8,2021-08-09,471,0.02,3185.701172
9,2021-08-10,427,0.014,3228.940674
10,2021-08-11,484,0.027,3269.209473
11,2021-08-12,518,0.032,3236.314697
12,2021-08-13,501,0.038,3324.671631
13,2021-08-14,546,0.03,3329.281006
14,2021-08-15,484,0.029,3320.084229
15,2021-08-16,524,0.035,3333.994873
16,2021-08-17,523,0.03,3288.812744
17,2021-08-18,439,0.035,3124.976074
18,2021-08-19,435,0.024,3184.435547
19,2021-08-20,394,0.033,3298.246582
20,2021-08-21,315,0.033,3307.351563
21,2021-08-22,381,0.032,3272.733154
22,2021-08-23,462,0.032,3373.384277
23,2021-08-24,429,0.032,3358.688232
24,2021-08-25,369,0.028,3248.727295
25,2021-08-26,377,0.031,3249.655273
26,2021-08-27,369,0.03,3281.840576
27,2021-08-28,312,0.038,3284.845947
28,2021-08-29,342,0.033,3283.235596
29,2021-08-30,301,0.025,3346.581055
30,2021-08-31,380,0.034,3466.992188
31,2021-09-01,400,0.013,3836.867432
32,2021-09-02,425,0.029,3830.711426
33,2021-09-03,398,0.029,4022.469238
34,2021-09-04,292,0.029,3969.44873
35,2021-09-05,336,0.037,3979.186523
36,2021-09-06,368,0.026,3968.426514
37,2021-09-07,414,0.02,3945.314209
38,2021-09-08,338,0.023,3559.121338
39,2021-09-09,349,0.038,3562.992676
40,2021-09-10,322,0.022,3512.571289
41,2021-09-11,273,0.029,3346.526367
42,2021-09-12,279,0.029,3462.468262
43,2021-09-13,314,0.032,3426.502197
44,2021-09-14,317,0.026,3429.169678
45,2021-09-15,315,0.025,3615.282715
46,2021-09-16,285,0.024,3673.310791
47,2021-09-17,290,0.034,3589.305176
48,2021-09-18,269,0.042,3540.807617
49,2021-09-19,251,0.024,3448.322021
50,2021-09-20,289,0.022,3343.325439
51,2021-09-21,246,0.031,3101.69751
52,2021-09-22,281,0.01,3089.083008
53,2021-09-23,258,0.053,3173.544678
54,2021-09-24,253,0.027,3159.644043
55,2021-09-25,177,0.04,2968.994629
56,2021-09-26,156,0.015,3114.857422
57,2021-09-27,215,0.048,3163.665039
58,2021-09-28,206,0.016,2970.770508
59,2021-09-29,200,0.031,2946.881348
60,2021-09-30,208,0.017,3046.519531
61,2021-10-01,217,0.02,3329.853516
62,2021-10-02,194,0.028,3464.837402
63,2021-10-03,180,0.038,3484.605713
64,2021-10-04,216,0.014,3434.775391
65,2021-10-05,166,0.021,3541.45166
66,2021-10-06,191,0.034,3622.55127
67,2021-10-07,263,0.027,3650.013184
68,2021-10-08,260,0.038,3667.95752
69,2021-10-09,231,0.031,3628.237305
70,2021-10-10,239,0.025,3603.244873
71,2021-10-11,275,0.029,3622.289551
72,2021-10-12,267,0.019,3546.477783
73,2021-10-13,230,0.033,3607.741699
74,2021-10-14,229,0.027,3819.258545
75,2021-10-15,300,0.03,3895.466309
76,2021-10-16,263,0.032,3962.453125
77,2021-10-17,235,0.031,3914.897949
78,2021-10-18,262,0.031,3888.209229
79,2021-10-19,258,0.04,3883.928711
80,2021-10-20,319,0.024,4167.472168
81,2021-10-21,296,0.032,4366.088379
82,2021-10-22,258,0.028,4162.975586
83,2021-10-23,241,0.043,4171.663574
84,2021-10-24,250,0.04,4185.729492
85,2021-10-25,288,0.047,4236.666992
86,2021-10-26,330,0.029,4289.131348
87,2021-10-27,295,0.035,4299.152832
88,2021-10-28,412,0.027,4293.150879
89,2021-10-29,419,0.01,4455.735352
90,2021-10-30,344,0.025,4426.848633
